"category","total_sales","aov","avg_review"
"Chemists.Drgustores",654197.626666667,130.486666666667,NA
"Clothing",224014.36,129.68875,NA
"DIY Goods",167178.972857143,212.061428571429,NA
"Eletrical Goods",257044.835555556,287.195555555556,NA
"Food.Consumables",31061.7833333333,116.793333333333,NA
"Furniture.Carpets",212765.99875,269.9975,NA
"Garden Products",326180.605,167.45,NA
"Household.Textiles",462513.123636364,166.917272727273,NA
"Music, Films.Books",46318.355,147.27375,NA
"Services",39452.856,230.11,NA
"Sports Equipments",599105.005,129.345,NA
