"state","sales","salesperorder","avg_shipcost","avg_shcsratio","avg_delidays","avg_review","avg_diffestdel"
"Acre",20053.34,247.57,46.19,0.29,20.98,4.062,20.89
"Alagoas",95343.31,236,39.18,0.27,24.2,3.837,8.98
"Amazonas",28643.84,193.54,39.13,0.3,26.29,4.216,19.51
"Amapá",16770.03,243.04,42.3,0.25,29.16,4.217,17.59
"Bahia",620904.81,184.96,31.36,0.25,19.14,3.901,10.99
"Ceará",280853.91,213.74,37.66,0.26,20.95,3.909,11.08
"Distrito Federal",373043.96,172.47,24.96,0.22,12.79,4.095,12.2
"Espírito Santo",321196.86,157.37,25.23,0.23,15.44,4.044,10.8
"Goiás",356067.85,174.29,27.17,0.23,15.39,4.074,12.32
"Maranhão",166100.56,223.86,44.26,0.3,21.18,3.782,9.97
"Minas Gerais",1914941.29,163.18,24.42,0.22,11.89,4.164,13.34
"Mato Grosso do Sul",140676.62,193.5,27.85,0.22,15.58,4.129,10.98
"Mato Grosso",196696.6,212.64,34.06,0.24,17.72,4.077,14.74
"Pará",220625.93,228.63,41.04,0.27,23.56,3.888,14.29
"Paraíba",140597.94,267.3,49.53,0.28,20.16,4.049,13.54
"Pernambuco",320072.11,197.45,36.96,0.26,18.27,4.058,13.41
"Piauí",108425.71,225.42,43.67,0.28,19.43,3.977,11.37
"Paraná",829048.72,163.68,25.2,0.22,11.85,4.209,13.48
"Rio de Janeiro",2157149.65,169.61,24.77,0.21,15.08,3.933,11.92
"Rio Grande do Norte",105164.84,215.06,39.92,0.28,19.09,4.129,13.96
"Rondônia",60411.5,238.78,48.07,0.31,19.38,4.123,20.29
"Roraima",9039.52,220.48,48.34,0.33,29.34,3.902,17.29
"Rio Grande do Sul",911974.01,164.68,25.95,0.23,15.2,4.146,14.04
"Santa Catarina",622489.64,170.87,25.91,0.22,14.78,4.102,11.72
"Sergipe",71366.22,209.29,40.99,0.28,21.3,3.9,10.12
"São Paulo",6142802.2,146.28,18.11,0.18,8.66,4.215,11.2
"Tocantins",63830.01,224.75,44.31,0.29,17.4,4.148,12.29
